restaurant_id, cuisine_type
474, Family Friendl
475,Bakery
475, Breakfast and Brunch
475, Cafe
475, Coffee &amp; Te
476,Seafood
476, Cajun
476, Dessert
477,Seafood
477, American
477, Caju
478,Fast Food
478, American
478, American
478, Salads
478, Sandwich
478, Sandwic
479,Juice and Smoothies
479, Healthy
479, Fast Foo
480,Pizza
480, American
480, Italia
481,Pizza
481, American
481, Italia
482,Retail
482, Gift Store
482, Beauty Suppl
483,American
483, Barfood
483, Wings
483, Seafood
483, Fish and Chips
483, Desserts
483, Fast Food
483, Bar Food
483, Sandwic
484,American
484, Fried Chicke
485,Gift Store
485, Baby
485, Retai
486,Breakfast and Brunch
486, Bakery
486, Dessert
487,Comfort Food
487, American
487, Wings
487, Family Meal
488,Breakfast &amp; Brunch
488, Donuts
488, Coffee and Te
489,Sandwich
489, America
490,Sandwich
490, Sou
491,American
491, Deli
491, Sandwich
491, Salads
491, Pasta
491, Family Meal
492,Mexican
492, Latin American
492, Comfort Foo
493,Bar Food
493, American
493, Wings
493, Chicken
493, Burger
494,Burgers
494, American
494, Sandwiches
494, Wing
495,American
495, Fast Food
495, wings
495, Family Meal
496,American
496, Bar Food
496, BBQ
496, burger
496, Chicken Strips
496, Comfort Food
496, Dinner
496, pasta
496, salad
496, Sandwich
496, Soup
496, Steak
496, Traditional American
496, wings
496, Family Meal
497,Burgers
497, American
497, Sandwiches
497, Family Meal
498,Soul Food
498, Caribbean
498, Comfort Foo
499,American
499, Chicken
499, Family Meals
499, Fried Chicken
499, Comfort Foo
500,Fast Food
500, Italian
500, pizza
500, wing
501,Burritos
501, Fast Food
501, Mexica
502,Asian
502, Chinese
502, Family Meal
503,American
503, Fried Chicke
504,Everyday Essentials
504, Convenience
504, Pharmacy
504, Snack
505,Pharmacy
505, Convenience
505, Everyday Essentials
505, Bab
506,Desserts
506, Coffee and Te
507,American
507, Chicken
507, Family Meals
507, Fried Chicken
507, Comfort Foo
508,Healthy
508, Sandwich
508, Sou
509,Vegetarian
509, Indian Curry
509, Healthy
509, Gluten Free
509, Vega
510,American
510, Burgers
510, Fast Foo
511,Healthy
511, Mexica
512,American
512, Burgers
512, Fast Foo
513,American
513, Wings
513, Salads
513, Healthy
513, Family Meal
514,Burritos
514, Fast Food
514, Mexica
515,Asian
515, Chinese
515, Family Meal
516,Chicken
516, Wings
516, Sandwiches
516, Comfort Food
516, Family Meal
517,Vegetarian
517, Vegan
517, Indian Curry
517, Pakistani
517, Gluten Fre
518,Breakfast and Brunch
518, salad
518, Sandwich
518, Family Meals
518, Pizza
518, Healthy
518, American
518, Chicke
519,Sandwich
519, Salads
519, Burgers
519, Healthy
519, Family Meal
520,American
520, Healthy
520, Juice and Smoothie
521,Comfort Food
521, American
521, Salads
521, Wing
522,American
522, Fried Chicken
522, Southern
522, Sandwich
522, Fast Foo
523,Sandwich
523, Comfort Foo
524,American
524, burger
524, Fast Food
524, Family Meal
525,Burritos
525, Fast Food
525, Mexica
526,American
526, Fried Chicke
527,BBQ
527, American
527, Burgers
527, Family Meal
528,Sandwich
528, American
528, Burger
529,Ice Cream + Frozen Yogurt
529, Burgers
529, Chicken
529, America
530,American
530, Steak
530, BB
531,BBQ
531, American
531, Burger
532,American
532, Burgers
532, Fast Foo
533,Pizza
533, Salads
533, Comfort Food
533, Health
534,Desserts
534, Pasta
534, Pizz
