id, name, fullAddress, priceRange, zipCode
165,Huddle House (2751 Allison Bonnet Memorial Hwy),"2751 ALLISON BONNET MEMORIAL HWY, HUEYTOWN, AL, 35023",$,35023
166,Panera (1400 University Blvd),"1400 University Blvd, Birmingham, AL, 35233",$,35233
167,Greenhouse,"1017 Oxmoor Rd, Birmingham, AL, 35209",$,35209
168,Hootie's Chicken Tenders (1278 Oak Grove Road),"1278 Oak Grove Road, Birmingham, AL, 35209",$,35209
169,Underground Chuck's (1709 Fulton Rd),"1709 Fulton Rd, Fultondale, AL, 35068",$$,35068
170,The Electric,"2146 Tyler Road, Hoover, AL, 35226",$,35226
171,Denny's (224 Daniel Payne Drive N),"224 Daniel Payne Drive N, Birmingham, AL, 35207",$$,35207
172,Wing Town,"1620 Forestdale Boulevard, Birmingham, AL, 35214",$$,35214
173,The Purple Onion (Hueytown),"3044 Allison-Bonnett Memorial Drive, Bessemer, AL, 35023",$,35023
174,Crawdaddy's,"2247 Pelham Pky, Birmingham, AL, 35005",$$,35005
175,Hero Doughnuts (Parkside),"1701 1st Avenue South, Birmingham, AL, 35233",,35233
176,The Purple Onion (Lakeview),"737 29th Street South, Birmingham, AL, 35233",$,35233
177,The Millionaire Cheesesteaks,"1100 Forestdale Blvd., Birminham, AL, 63112",$,63112
178,Hootie's Burger Bar (1278 Oak Grove Road),"1278 Oak Grove Road, Birmingham, AL, 35209",$$,35209
179,Wings R King (Hoover),"1535 Montgomery Hwy, Hoover, AL, 35216",$,35216
180,Firehouse Subs (Homewood),"808 Green Springs Hwy, Homewood, AL, 35209",$,35209
181,Gus's World Famous Fried Chicken (Birmingham),"2201 2nd Ave S, Birmingham, AL, 35233",$,35233
182,Kings Wings,"1100 Forestdale Blvd, Birmingham, AL, 35214",,35214
183,Wylam Wings &amp; Things,"710 Bank Street, Birmingham, AL, 35224",$,35224
184,Oak Hill Bar &amp; Grill,"2835 18th St S, Birmingham, AL, 35209",$,35209
